DATE,DJIA
2008-10-17,8852.22
2008-10-20,9265.43
2008-10-21,9033.66
2008-10-22,8519.21
2008-10-23,8691.25
2008-10-24,8378.95
2008-10-27,8175.77
2008-10-28,9065.12
2008-10-29,8990.96
2008-10-30,9180.69
2008-10-31,9325.01
2008-11-03,9319.83
2008-11-04,9625.28
2008-11-05,9139.27
2008-11-06,8695.79
2008-11-07,8943.81
2008-11-10,8870.54
2008-11-11,8693.96
2008-11-12,8282.66
2008-11-13,8835.25
2008-11-14,8497.31
2008-11-17,8273.58
2008-11-18,8424.75
2008-11-19,7997.28
2008-11-20,7552.29
2008-11-21,8046.42
2008-11-24,8443.39
2008-11-25,8479.47
2008-11-26,8726.61
2008-11-27,.
2008-11-28,8829.04
2008-12-01,8149.09
2008-12-02,8419.09
